Incidencia de notas nas Listas de Aproveitamento digitadas (Parâmetros: 20212,    ,    , 208,        );;;;;;;;;;;;;;;;;;;;;;;;;;
semestre;centroDoDepartamento;nomeDoCentro;departamento;nomeDoDepartamento_Campus;turmaDoCurso;disciplina;nomeDaDisciplina;HorasAulas;qtdeNota10,0;qtdeNota9,5_9,0;qtdeNota8,5_8,0;qtdeNota7,5_7,0;qtdeNota6,5_6,0;qtdeNota5,5_5,0;qtdeNota4,5_4,0;qtdeNota3,5_3,0;qtdeNota2,5_2,0;qtdeNota1,5_0,5;nota0_FS;nota0_FI; qtdeDeAlunosDaTurmaComNotas;mencaoI; Aprovados;Reprovados_FS;Reprovados_FI;
20212; CCE ; Comunicação e Expressão                                      ; LLV ; Língua e Literatura Vernáculas                               ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; LLV7101 ; Língua Latina I                                                                                      ;60;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CDS ; Desportos                                                    ; DEF ; Educação Física                                              ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; DEF5822 ; Avaliação e Prescrição de Exercícios (PCC 18 horas)                                                  ;54;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CDS ; Desportos                                                    ; EFC ; (Coordenação de Educação Fisica Curricular)                  ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; EFC5556 ; Natação Mista: Iniciação                                                                             ;72;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1; 
20212; CDS ; Desportos                                                    ; EFC ; (Coordenação de Educação Fisica Curricular)                  ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; EFC5801 ; Condicionamento Físico                                                                               ;72;1;1;0;0;0;0;0;0;0;0;0;3;5;0;2;0;3; 
20212; CED ; Ciências da Educação                                         ; CIN ; Ciência da Informação                                        ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; CIN7929 ; Engenharia de Dados                                                                                  ;36;0;1;0;1;0;0;0;0;0;0;0;0;2;0;2;0;0; 
20212; CED ; Ciências da Educação                                         ; CIN ; Ciência da Informação                                        ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; CIN7943 ; Experiência do Usuário (UX) User Experience                                                          ;36;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CFH ; Filosofia e Ciências Humanas                                 ; FIL ; Filosofia                                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; FIL7102 ; Estudos Filosóficos                                                                                  ;36;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0; 
20212; CFH ; Filosofia e Ciências Humanas                                 ; GCN ; Geociências                                                  ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; GCN7100 ; Astronomia                                                                                           ;90;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CFH ; Filosofia e Ciências Humanas                                 ; PSI ; Psicologia                                                   ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; PSI7002 ; Psicologia Organizacional                                                                            ;72;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CFH ; Filosofia e Ciências Humanas                                 ; SPO ; Sociologia e Ciência Política                                ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; SPO7001 ; Ciência Política                                                                                     ;36;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0; 
