Incidencia de notas nas Listas de Aproveitamento digitadas (Parâmetros: 20161, CTC, INE, 208,        )
semestre;centroDoDepartamento;nomeDoCentro;departamento;nomeDoDepartamento_Campus;turmaDoCurso;disciplina;nomeDaDisciplina;HorasAulas;qtdeNota10,0;qtdeNota9,5_9,0;qtdeNota8,5_8,0;qtdeNota7,5_7,0;qtdeNota6,5_6,0;qtdeNota5,5_5,0;qtdeNota4,5_4,0;qtdeNota3,5_3,0;qtdeNota2,5_2,0;qtdeNota1,5_0,5;nota0_FS;nota0_FI; qtdeDeAlunosDaTurmaComNotas;mencaoI; Aprovados;Reprovados_FS;Reprovados_FI;
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5401 ; Introdução à Computação                                                                              ; 36 ; 0 ; 10 ; 14 ; 11 ; 8 ; 0 ; 0 ; 1 ; 1 ; 0 ; 0 ; 5 ; 50 ; 0 ; 43 ; 2 ; 5 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5402 ; Programação Orientada a Objetos I                                                                    ; 108 ; 10 ; 11 ; 9 ; 8 ; 8 ; 0 ; 1 ; 1 ; 2 ; 0 ; 0 ; 16 ; 66 ; 0 ; 46 ; 4 ; 16 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5403 ; Fundamentos de Matemática Discreta para Computação                                                   ; 108 ; 1 ; 5 ; 6 ; 5 ; 21 ; 5 ; 4 ; 5 ; 2 ; 10 ; 4 ; 9 ; 77 ; 0 ; 38 ; 30 ; 9 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5404 ; Programação Orientada a Objetos II                                                                   ; 108 ; 1 ; 6 ; 9 ; 8 ; 4 ; 1 ; 1 ; 1 ; 1 ; 4 ; 0 ; 11 ; 47 ; 0 ; 28 ; 8 ; 11 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5405 ; Probabilidade e Estatística                                                                          ; 90 ; 1 ; 3 ; 3 ; 2 ; 4 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 22 ; 0 ; 13 ; 1 ; 8 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5406 ; Sistemas Digitais                                                                                    ; 90 ; 0 ; 0 ; 1 ; 11 ; 14 ; 4 ; 1 ; 2 ; 11 ; 4 ; 1 ; 15 ; 64 ; 0 ; 26 ; 23 ; 15 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5407 ; Ciência, Tecnologia e Sociedade                                                                      ; 54 ; 0 ; 4 ; 5 ; 14 ; 9 ; 0 ; 1 ; 1 ; 1 ; 0 ; 0 ; 15 ; 50 ; 0 ; 32 ; 3 ; 15 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5408 ; Estruturas de Dados                                                                                  ; 108 ; 0 ; 6 ; 8 ; 8 ; 7 ; 1 ; 0 ; 3 ; 1 ; 2 ; 0 ; 6 ; 42 ; 0 ; 29 ; 7 ; 6 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5409 ; Cálculo Numérico para Computação                                                                     ; 72 ; 0 ; 0 ; 2 ; 5 ; 10 ; 2 ; 4 ; 1 ; 1 ; 2 ; 0 ; 4 ; 31 ; 0 ; 17 ; 10 ; 4 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5410 ; Programação Concorrente                                                                              ; 72 ; 0 ; 5 ; 11 ; 20 ; 10 ; 0 ; 0 ; 0 ; 1 ; 5 ; 0 ; 4 ; 56 ; 0 ; 46 ; 6 ; 4 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5411 ; Organização de Computadores I                                                                        ; 108 ; 1 ; 3 ; 9 ; 10 ; 7 ; 2 ; 1 ; 6 ; 6 ; 3 ; 0 ; 3 ; 51 ; 0 ; 30 ; 18 ; 3 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5412 ; Sistemas Operacionais I                                                                              ; 72 ; 0 ; 0 ; 3 ; 5 ; 17 ; 4 ; 2 ; 0 ; 2 ; 0 ; 0 ; 8 ; 41 ; 1 ; 25 ; 8 ; 8 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5413 ; Grafos                                                                                               ; 72 ; 0 ; 1 ; 3 ; 5 ; 5 ; 1 ; 2 ; 1 ; 2 ; 4 ; 0 ; 2 ; 26 ; 0 ; 14 ; 10 ; 2 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5414 ; Redes de Computadores I                                                                              ; 72 ; 0 ; 3 ; 6 ; 13 ; 13 ; 0 ; 1 ; 4 ; 4 ; 2 ; 0 ; 13 ; 59 ; 0 ; 35 ; 11 ; 13 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5415 ; Teoria da Computação                                                                                 ; 72 ; 0 ; 3 ; 3 ; 6 ; 8 ; 1 ; 2 ; 2 ; 2 ; 2 ; 0 ; 1 ; 30 ; 0 ; 20 ; 9 ; 1 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5416 ; Paradigmas de Programação                                                                            ; 90 ; 5 ; 5 ; 4 ; 2 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 24 ; 0 ; 17 ; 0 ; 7 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5417 ; Engenharia de Software I                                                                             ; 72 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5417 ; Engenharia de Software I                                                                             ; 90 ; 0 ; 2 ; 10 ; 7 ; 10 ; 3 ; 4 ; 2 ; 1 ; 3 ; 0 ; 2 ; 44 ; 0 ; 29 ; 13 ; 2 ; 
 20161 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5418 ; Computação Distribuída                                                                               ; 72 ; 3 ; 3 ; 8 ; 6 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 21 ; 0 ; 21 ; 0 ; 0 ; 
