Incidencia de notas nas Listas de Aproveitamento digitadas (Parâmetros: 20121, CTC, INE, 208,        )
semestre;centroDoDepartamento;nomeDoCentro;departamento;nomeDoDepartamento_Campus;turmaDoCurso;disciplina;nomeDaDisciplina;HorasAulas;qtdeNota10,0;qtdeNota9,5_9,0;qtdeNota8,5_8,0;qtdeNota7,5_7,0;qtdeNota6,5_6,0;qtdeNota5,5_5,0;qtdeNota4,5_4,0;qtdeNota3,5_3,0;qtdeNota2,5_2,0;qtdeNota1,5_0,5;nota0_FS;nota0_FI; qtdeDeAlunosDaTurmaComNotas;mencaoI; Aprovados;Reprovados_FS;Reprovados_FI;
 20121 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5329 ; Administração em Processamento de Dados                                                              ; 54 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
 20121 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5374 ; Métodos Formais para Concepção de Sistemas                                                           ; 72 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
 20121 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5401 ; Introdução à Computação                                                                              ; 36 ; 1 ; 9 ; 13 ; 6 ; 13 ; 2 ; 0 ; 4 ; 7 ; 1 ; 0 ; 7 ; 63 ; 0 ; 42 ; 14 ; 7 ; 
 20121 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5402 ; Programação Orientada a Objetos I                                                                    ; 108 ; 1 ; 11 ; 6 ; 9 ; 15 ; 5 ; 4 ; 2 ; 2 ; 0 ; 0 ; 29 ; 84 ; 0 ; 42 ; 13 ; 29 ; 
 20121 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5403 ; Fundamentos de Matemática Discreta para Computação                                                   ; 108 ; 0 ; 2 ; 3 ; 10 ; 26 ; 5 ; 9 ; 10 ; 7 ; 11 ; 0 ; 9 ; 92 ; 0 ; 41 ; 42 ; 9 ; 
 20121 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5404 ; Programação Orientada a Objetos II                                                                   ; 108 ; 1 ; 2 ; 3 ; 13 ; 15 ; 3 ; 1 ; 0 ; 1 ; 0 ; 0 ; 4 ; 43 ; 0 ; 34 ; 5 ; 4 ; 
 20121 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5405 ; Probabilidade e Estatística                                                                          ; 90 ; 1 ; 0 ; 3 ; 3 ; 8 ; 1 ; 1 ; 0 ; 1 ; 1 ; 0 ; 14 ; 33 ; 0 ; 15 ; 4 ; 14 ; 
 20121 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5406 ; Sistemas Digitais                                                                                    ; 90 ; 0 ; 0 ; 2 ; 5 ; 18 ; 6 ; 4 ; 1 ; 8 ; 4 ; 0 ; 13 ; 61 ; 0 ; 25 ; 23 ; 13 ; 
 20121 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5407 ; Ciência, Tecnologia e Sociedade                                                                      ; 54 ; 7 ; 11 ; 9 ; 2 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 31 ; 0 ; 30 ; 1 ; 0 ; 
 20121 ; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; CIÊNCIAS DA COMPUTAÇÃO                                                                                                                                                                                                                                     ; INE5408 ; Estruturas de Dados                                                                                  ; 108 ; 0 ; 4 ; 8 ; 11 ; 12 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 39 ; 0 ; 35 ; 1 ; 3 ; 
